size_bytes,user_rating,user_rating_mark
59663360,4.5,high
98764800,4.0,medium
14437376,2.5,low
187623424,0.0,low
40717312,4.5,high
93580288,4.0,medium
167030784,4.5,high
323473408,4.5,high
112337920,4.0,medium
25945088,4.5,high
503228416,3.5,medium
9162752,4.5,high
123987968,4.0,medium
48162816,0.0,low
103174144,4.5,high
92217344,0.0,low
32477184,0.0,low
157572096,4.5,high
39018496,2.0,low
106005504,4.0,medium
27069440,3.5,medium
202029056,4.5,high
26597376,5.0,high
68677632,4.0,medium
4503552,0.0,low
209495040,4.0,medium
65385472,4.0,medium
148458496,4.5,high
40855552,4.5,high
68615168,4.5,high
56807424,4.5,high
63022080,4.5,high
646467584,5.0,high
71102464,4.5,high
66155520,3.5,medium
12445696,4.0,medium
144888832,4.5,high
80192512,0.0,low
247331840,5.0,high
415420416,4.0,medium
118532096,2.5,low
38900736,3.5,medium
163401728,2.5,low
47351808,0.0,low
181997568,4.5,high
229992448,3.5,medium
65892352,4.0,medium
57138176,4.0,medium
38805504,4.0,medium
35957760,4.5,high
103657472,4.5,high
93907968,0.0,low
66817024,0.0,low
68668416,3.0,low
16457728,0.0,low
547368960,0.0,low
247308288,4.5,high
103469056,4.5,high
151864320,4.0,medium
92291072,3.5,medium
53601280,4.5,high
124666880,5.0,high
101524480,4.5,high
55524352,4.0,medium
75922432,4.0,medium
71203840,4.5,high
205250560,4.5,high
115398656,4.0,medium
17283072,0.0,low
153064448,4.5,high
81681408,0.0,low
53994496,5.0,high
295681024,4.0,medium
12624896,0.0,low
38311936,4.0,medium
16857290,4.0,medium
75174912,4.0,medium
32719872,3.5,medium
15536128,4.5,high
26896384,0.0,low
966167552,4.5,high
1329823744,4.0,medium
90467328,4.5,high
170200064,0.0,low
90030080,3.0,low
457842688,4.5,high
18925568,2.0,low
2251403264,4.5,high
55756800,0.0,low
1272736768,4.5,high
73926656,5.0,high
41161832,4.5,high
40747008,4.5,high
77325312,4.0,medium
102511616,4.5,high
99992576,4.5,high
292851712,4.5,high
96538624,4.5,high
57303040,4.5,high
91570176,4.5,high
39294976,5.0,high
34690172,4.5,high
955086848,4.5,high
205972480,5.0,high
89742336,2.5,low
269532160,4.0,medium
107259904,4.5,high
80923648,4.5,high
111177728,5.0,high
34933760,0.0,low
3375104,0.0,low
14449664,0.0,low
195533824,4.0,medium
68760576,2.5,low
38476800,4.0,medium
80547840,4.5,high
77494272,5.0,high
26404864,4.0,medium
112567296,4.5,high
47266816,4.5,high
79953920,4.5,high
16607232,4.0,medium
83026944,0.0,low
66310144,2.0,low
83624960,3.5,medium
160192512,4.5,high
183009280,4.5,high
32029696,4.0,medium
15664128,3.5,medium
34959360,3.5,medium
223332352,4.0,medium
95607808,4.5,high
139961344,3.5,medium
94483456,4.5,high
27395072,3.5,medium
87667712,4.0,medium
149481472,4.5,high
58178560,0.0,low
98627584,3.5,medium
203396096,4.5,high
91591680,4.0,medium
189247488,0.0,low
65974272,4.5,high
999398400,4.5,high
261758976,3.5,medium
147001344,4.5,high
227164160,4.0,medium
80195584,4.5,high
182986752,4.5,high
80548864,0.0,low
78570496,4.5,high
56379392,4.0,medium
113942528,4.5,high
22364160,4.5,high
41961472,0.0,low
98640896,1.5,low
47512576,4.5,high
16304128,0.0,low
57106432,4.0,medium
109877248,4.0,medium
15470592,2.0,low
74308608,0.0,low
521508864,4.5,high
68319232,4.5,high
245484544,4.5,high
198499328,4.5,high
55678976,4.5,high
40472576,4.0,medium
118435840,3.5,medium
120797184,4.5,high
133456896,4.0,medium
