size_bytes,user_rating,user_rating_mark
79404032,5.0,
12734464,4.5,
308125696,4.0,
28471296,1.0,
404173824,3.0,
7432192,0.0,
31446016,4.5,
77717504,0.0,
851309568,4.5,
62823424,4.0,
65501184,4.5,
2116109312,3.0,
39276544,4.5,
55869440,4.0,
64333824,4.5,
699091968,4.0,
50789376,3.5,
1344401408,4.5,
26890240,4.5,
99231744,4.5,
151495680,4.0,
132924416,0.0,
54100992,4.5,
47774720,4.0,
35204096,3.5,
154832896,4.5,
69772288,4.5,
15313920,4.0,
33304576,4.5,
84905984,2.0,
32918528,3.5,
761856,4.5,
68952064,4.0,
199166976,5.0,
38904832,0.0,
398783488,4.5,
127716352,1.0,
162750464,4.5,
12660736,2.0,
254793728,4.5,
237275136,4.5,
28856320,1.0,
39272448,1.5,
95036416,4.5,
6529024,4.0,
19434496,4.5,
154600448,4.0,
100554752,4.5,
30148608,4.5,
83433472,3.0,
149815296,4.5,
18325504,0.0,
218039296,5.0,
15183872,0.0,
113558528,5.0,
5086208,3.0,
38898688,3.0,
45325312,0.0,
39568384,3.5,
224983040,4.5,
188902400,4.5,
514434048,4.0,
187552768,0.0,
35696640,3.5,
207105024,4.5,
253294592,4.5,
87324672,4.0,
160321536,4.5,
141105152,4.5,
98380800,4.5,
67361792,0.0,
2169602048,4.0,
180629504,4.5,
72565760,4.5,
128684032,4.5,
51374080,4.0,
958016512,4.5,
65756160,3.5,
46454784,1.0,
478513152,4.5,
151453696,4.5,
44860416,4.5,
497758208,4.0,
6418432,3.5,
364490752,5.0,
108594176,4.0,
143591424,4.5,
51105792,4.5,
140367872,3.5,
361181184,4.0,
52018176,4.5,
33880064,3.5,
185606144,3.0,
848715776,3.0,
131642368,4.5,
110595072,4.5,
22587392,4.0,
121715712,4.5,
55493632,4.5,
74212352,4.0,
52408320,3.0,
441390080,4.0,
28156928,2.5,
10432512,4.5,
910774272,4.5,
138277888,4.0,
15053824,0.0,
102755328,4.5,
72539136,4.0,
141136896,4.5,
18375680,4.0,
164000768,4.5,
35998720,3.0,
55445504,4.5,
451740672,4.5,
22185984,4.5,
162557952,0.0,
308592640,4.0,
19247104,4.5,
74190848,3.5,
191410176,4.0,
22562816,4.0,
36184064,4.5,
79527936,3.5,
59183104,4.0,
9922560,5.0,
936792064,4.5,
49349632,4.5,
135512064,4.5,
871531520,3.0,
49243136,5.0,
57072640,4.0,
58299392,4.5,
15258624,4.5,
77551616,0.0,
9167872,4.5,
7802880,4.5,
66388992,4.5,
169488384,4.5,
2950687744,3.0,
138456064,4.5,
24551424,4.0,
27130880,4.5,
1170735104,3.5,
14309376,0.0,
168192000,4.0,
86029312,0.0,
102180864,3.5,
52287488,0.0,
44748800,0.0,
81845248,4.5,
54171648,4.5,
51405824,0.0,
117460992,3.0,
25903104,2.5,
58839040,4.5,
163115008,5.0,
32050176,4.0,
508655616,4.0,
86984704,4.0,
209787904,4.5,
34455552,0.0,
71529472,3.0,
79643648,4.5,
235259904,4.5,
68433920,2.0,
1824768,4.5,
224086016,4.5,
121370624,4.0,
275680256,4.0,
20885504,4.5,
23057408,0.0,
112562176,4.0,
120459264,5.0,
146830336,4.0,
15676416,3.5,
10735026,4.0,
42460160,2.5,
190519296,4.5,
96586752,5.0,
148776960,4.0,
33499136,2.0,
30700544,4.5,
99517440,4.0,
270223360,4.0,
86776832,4.5,
371298304,3.0,
125476864,4.5,
458349568,4.5,
912869376,4.5,
285338624,4.5,
106115072,4.0,
91650048,4.5,
55441408,4.5,
34342912,4.5,
165360640,4.5,
153040896,4.0,
141408256,4.0,
321376256,4.5,
63964160,5.0,
3115008,0.0,
27424768,0.0,
95245312,0.0,
70096896,3.0,
67259392,0.0,
161200128,4.0,
117741568,4.5,
337468416,5.0,
4682752,2.0,
17457152,3.5,
186402816,4.5,
72770560,4.5,
59480064,2.0,
372767744,2.5,
62373888,4.0,
77565952,3.0,
28518400,3.5,
121673728,4.0,
264025088,4.5,
87201792,4.0,
178887680,4.5,
4303262,1.5,
122281984,4.5,
1044480,1.0,
23534592,0.0,
19860480,4.5,
460804096,4.5,
70149120,4.5,
272637952,4.0,
191382528,4.0,
36992000,4.5,
45799424,5.0,
17436862,4.5,
30016512,4.0,
82697216,3.5,
44402688,4.5,
589824,4.5,
120057856,0.0,
100551680,4.5,
710486016,4.0,
68797440,3.0,
934126592,4.0,
226242560,4.0,
160900096,4.0,
112668672,4.0,
238636032,0.0,
82129920,3.0,
31147008,4.5,
949374976,4.0,
18425856,0.0,
44275712,3.5,
171140096,3.5,
212642816,4.0,
51366912,4.0,
3856588800,4.5,
